record_type,perm_id,n_boot,seed,runtime_sec,converged,FP_between,slope_1985_1991,slope_1992_2001,slope_2002_2007,slope_2008_2015
metadata,NA,1000,42,414.01300000000003,NA,NA,NA,NA,NA,NA
permutation,84,NA,NA,NA,TRUE,-0.00672047179896008,-0.00672047179896008,0.013003970598670169,-0.006392215381158846,0.003689532628043081
permutation,85,NA,NA,NA,TRUE,0.008100031975589181,0.008100031975589181,-0.002335308741438509,-0.015910219340971678,-0.011358478416349
permutation,86,NA,NA,NA,TRUE,-0.0028021518683813158,-0.0028021518683813158,-0.0031862847985925816,-0.008428069919852349,-0.00723317183765001
permutation,87,NA,NA,NA,TRUE,-0.017745369669431292,-0.017745369669431292,-0.02362213234097028,-0.017112106570467526,-0.02677976509942165
permutation,88,NA,NA,NA,TRUE,0.02048310550251457,0.02048310550251457,0.014558279721810096,0.0013685041665793055,0.0041176397259812016
permutation,89,NA,NA,NA,TRUE,0.02448976939828498,0.02448976939828498,0.026687853781340684,0.015510019583754682,0.02660024051361058
permutation,90,NA,NA,NA,TRUE,0.008279551257587912,0.008279551257587912,0.0015428645746520643,0.0018192358399850587,5.76598916285696e-4
permutation,91,NA,NA,NA,TRUE,0.02122093281707306,0.02122093281707306,0.012521886008377232,0.03933289520558898,0.03064772134206254
permutation,92,NA,NA,NA,TRUE,-0.021928427603960597,-0.021928427603960597,-0.017094192423803802,-0.044238488733563175,-0.03388366219635325
permutation,93,NA,NA,NA,TRUE,-0.008962599640790126,-0.008962599640790126,-0.0014879178458867591,-0.00935483080463176,-0.01311997660073978
permutation,94,NA,NA,NA,TRUE,-0.012408317617430475,-0.012408317617430475,0.001311652135953769,0.013137321736917425,-0.015601596308382485
permutation,95,NA,NA,NA,TRUE,-7.960827413746556e-4,-7.960827413746556e-4,-0.0019909495412116325,-0.004272496256235719,0.002388095576869007
permutation,96,NA,NA,NA,TRUE,-0.0057643618441822935,-0.0057643618441822935,-0.011807356550670538,0.00495824796933726,0.004040270574766194
permutation,97,NA,NA,NA,TRUE,0.011327653432111834,0.011327653432111834,0.03330506715349704,0.02213493435317149,0.036374532523875604
permutation,98,NA,NA,NA,TRUE,0.01796764639183967,0.01796764639183967,0.006526123695948268,-0.020015157575356338,-0.016349283902968602
permutation,99,NA,NA,NA,TRUE,-0.008331117105078941,-0.008331117105078941,0.016450182312751648,0.0161266804340904,0.013757880847515752
permutation,100,NA,NA,NA,TRUE,-0.007545406520519706,-0.007545406520519706,0.0056351205520203335,0.0372982197186736,0.02245322007089625
