"stat_rec","lon","lat","mean_elevation_m","mean_depth_m","depth_min_m","depth_max_m","depth_range_m","grad_bearing_cross_deg","grad_bearing_along_deg","grad_magnitude_m_per_m","elev_at_centroid_m","pct_sounding","n_cells","n_nonland","n_direct","dist_to_gebco_edge_deg","tid_flag_lt50","tid_flag_lt25"
"39F8",8.50000000019992,55.2499999998502,0.643923611111111,-0.643923611111111,-69,31,100,212.347296402101,302.347296402101,0.00223857289927004,-1,98.8450215143051,28800,13247,13094,1.49999999980008,FALSE,FALSE
"40E8",-1.50000000004991,55.7499999997502,-48.3875694444444,48.3875694444444,-277,111,388,277.782850669066,7.78285066906557,0.00471464747445248,-63,99.6382367976092,28800,25431,25339,3.49999999995009,FALSE,FALSE
"40E9",-0.499999999800082,55.7499999997502,-75.0743055555556,75.0743055555556,54,109,55,94.836289524249,184.836289524249,0.00252425850800567,-71,99.9861111111111,28800,28800,28796,4.50000000019992,FALSE,FALSE
"40F0",0.500000000000057,55.7499999997502,-75.3868402777778,75.3868402777778,48,163,115,128.925833458877,218.925833458877,0.00338712316368665,-75,52.5416666666667,28800,28800,15132,5.50000000000006,FALSE,FALSE
"40F1",1.4999999998002,55.7499999997502,-76.8026736111111,76.8026736111111,52,97,45,174.641288495163,264.641288495163,0.00128251109887068,-78,57.6944444444444,28800,28800,16616,5.74999999975023,FALSE,FALSE
"40F2",2.50000000004999,55.7499999997502,-72.4866666666667,72.4866666666667,33,89,56,173.242798738576,263.242798738576,0.00407181956748546,-78,72.03125,28800,28800,20745,5.74999999975023,FALSE,FALSE
"40F3",3.50000000029982,55.7499999997502,-50.5152777777778,50.5152777777778,31,79,48,150.628976394284,240.628976394284,0.000732622858190867,-52,92.8298611111111,28800,28800,26735,5.74999999975023,FALSE,FALSE
"40F4",4.50000000009999,55.7499999997502,-39.8636805555556,39.8636805555556,27,72,45,78.832063526543,168.832063526543,0.00109878024450345,-38,98.1597222222222,28800,28800,28270,5.49999999990001,FALSE,FALSE
"40F5",5.49999999990013,55.7499999997502,-47.3128819444444,47.3128819444444,29,55,26,344.283267300002,74.2832673000019,0.000442166733906318,-51,100,28800,28800,28800,4.50000000009988,FALSE,FALSE
"40F6",6.49999999970026,55.7499999997502,-37.9689583333333,37.9689583333333,25,53,28,144.873377504024,234.873377504024,0.00104082268263266,-39,100,28800,28800,28800,3.50000000029974,FALSE,FALSE
"40F7",7.49999999995009,55.7499999997502,-20.7076041666667,20.7076041666667,0,44,44,213.289132830799,303.289132830799,0.00152756116647753,-19,100,28800,28796,28796,2.50000000004991,FALSE,FALSE
"41E7",-2.50000000029974,56.2499999996503,-21.5384375,21.5384375,-241,71,312,9.70064335344065,99.7006433534406,0.0028433116943185,-43,97.596051567885,28800,23503,22938,2.49999999970027,FALSE,FALSE
"41E8",-1.50000000004991,56.2499999996503,-56.8048958333333,56.8048958333333,35,91,56,311.986459827026,41.9864598270261,0.00257821822768674,-56,100,28800,28800,28800,3.49999999995009,FALSE,FALSE
"41E9",-0.499999999800082,56.2499999996503,-73.2546875,73.2546875,54,140,86,187.907368963324,277.907368963324,0.00174126825529744,-74,93.5763888888889,28800,28800,26950,4.50000000019992,FALSE,FALSE
