stat_rec,mean_D,mean_annual_hours_total,cooks_distance,cooks_threshold_4_over_n
32F2,0.6181198780409384,27952.129032258064,4.474175104738454e-4,0.024844720496894408
38F1,0.6446829354765152,18963.967741935485,3.595033937754627e-4,0.024844720496894408
42F1,0.6252419934504029,1583.548387096774,3.592688170455287e-4,0.024844720496894408
42F7,0.6226432165932948,30018.290322580648,3.51150224537781e-4,0.024844720496894408
36F2,0.6442431846817732,19729.354838709674,3.316417714853902e-4,0.024844720496894408
33F3,0.6310444252233913,36314.87096774193,3.1410035445381167e-4,0.024844720496894408
37F5,0.6443273551125093,22124.290322580648,3.050220238345624e-4,0.024844720496894408
51F0,0.5998583239833372,4653.225806451613,3.0295221130746723e-4,0.024844720496894408
39F8,0.6354621351888503,39971.67741935483,2.934546453069236e-4,0.024844720496894408
37F7,0.6295623258019016,34432.35483870968,2.6917567475108554e-4,0.024844720496894408
45F3,0.6287459792013351,6699.645161290323,2.173436563568446e-4,0.024844720496894408
32F1,0.6468358478097788,33904.74193548387,2.1714595788785537e-4,0.024844720496894408
36F5,0.6154882426213062,22188.516129032258,2.1358361404934907e-4,0.024844720496894408
37F4,0.621498532410887,26115.90322580645,1.7878298118486675e-4,0.024844720496894408
40F2,0.6029702287506826,3971.903225806452,1.753735502930872e-4,0.024844720496894408
41F2,0.6025980861629326,2919,1.7266319839549546e-4,0.024844720496894408
39F3,0.6348462405914295,13628.096774193553,1.656750790037158e-4,0.024844720496894408
37F3,0.6352403008868455,14877.419354838708,1.4891708470300127e-4,0.024844720496894408
44F4,0.6265237839321094,6970,1.4043978271912778e-4,0.024844720496894408
40F6,0.6159480601645507,18988,1.0321502343776576e-4,0.024844720496894408
43F6,0.6118738918601371,14120.580645161292,9.395792520811107e-5,0.024844720496894408
40F5,0.6228758945545924,24791.58064516129,9.365330745703212e-5,0.024844720496894408
39F4,0.6317022315188514,14620.483870967742,8.106026508887346e-5,0.024844720496894408
37F2,0.644507495991338,35884.54838709677,7.072133084785506e-5,0.024844720496894408
46E9,0.6110015018535466,10942.483870967742,6.926928973530411e-5,0.024844720496894408
40F3,0.6093791544738499,6627.903225806451,5.195506447940176e-5,0.024844720496894408
38F4,0.629376496730893,14545.032258064515,4.658989568019569e-5,0.024844720496894408
36F1,0.6234499876719826,8523.193548387095,4.350444827541502e-5,0.024844720496894408
44F2,0.6089081937925299,4418.032258064517,3.764866938019914e-5,0.024844720496894408
44F3,0.6124957918482727,9339,3.25680467404617e-5,0.024844720496894408
51F2,0.6234596871035215,9382.741935483871,3.2464213988568245e-5,0.024844720496894408
49F3,0.6247849855146566,10904.419354838708,3.07964252757896e-5,0.024844720496894408
36F0,0.6115229145630969,6222.709677419354,1.9776665860436333e-5,0.024844720496894408
45F2,0.6100905039608947,4106.161290322581,1.9420820480767214e-5,0.024844720496894408
35F2,0.6297987468559623,18517.225806451614,1.7845603837666923e-5,0.024844720496894408
37F0,0.6370856257543102,30485.64516129032,5.657389296956407e-6,0.024844720496894408
38F3,0.6162204399203404,9374.967741935485,3.4099240005799025e-6,0.024844720496894408
39E8,0.6459602937447118,43329.4193548387,3.2638470429849177e-7,0.024844720496894408
