phase_v2,FP_between,smooth_fit,smooth_se,smooth_lo,smooth_hi,linear_fit,linear_se,linear_lo,linear_hi,centered_at_FP_between
1985-1991,7.51484624469488,0.03457004318950985,0.022877378651205475,-0.010269618966852884,0.07940970534587258,0.035811783440509865,0.11651685458022176,-0.1925612515367248,0.26418481841774455,8.966104274930782
1985-1991,7.553985951561996,0.03363703993052901,0.02226719036460182,-0.01000665318409056,0.07728073304514857,0.03484389740157717,0.11712371137873148,-0.19471857690073652,0.26440637170389086,8.966104274930782
1985-1991,7.593125658429112,0.03270402534844629,0.021657103120048236,-0.009743896766848253,0.07515194746374083,0.03387601136264448,0.11773056817724117,-0.19687590226474821,0.2646279249900372,8.966104274930782
1985-1991,7.632265365296227,0.03177099387751968,0.021047116543319852,-0.00948135454738723,0.07302334230242659,0.03290812532371179,0.11833742497575088,-0.19903322762875994,0.26484947827618355,8.966104274930782
1985-1991,7.671405072163344,0.03083793979132607,0.020437230585080974,-0.009219032155432641,0.07089491173808478,0.03194023928477907,0.1189442817742606,-0.2011905529927717,0.2650710315623298,8.966104274930782
1985-1991,7.71054477903046,0.029904857323944815,0.019827445449842312,-0.008956935757746115,0.06876665040563575,0.03097235324584638,0.11955113857277032,-0.20334787835678345,0.2652925848484762,8.966104274930782
1985-1991,7.749684485897576,0.028971740543469387,0.019217761746709545,-0.008695072480081324,0.0666385535670201,0.030004467206913688,0.12015799537128001,-0.20550520372079512,0.2655141381346225,8.966104274930782
1985-1991,7.788824192764691,0.02803858333414509,0.018608180560494802,-0.00843345056442472,0.0645106172327149,0.029036581167980996,0.12076485216978973,-0.20766252908480687,0.26573569142076886,8.966104274930782
1985-1991,7.827963899631808,0.02710537938333735,0.0179987035629638,-0.008172079600071696,0.06238283836674639,0.028068695129048277,0.12137170896829945,-0.20981985444881865,0.2659572447069152,8.966104274930782
1985-1991,7.867103606498924,0.026172122292921873,0.017389332915720042,-0.007910970221889406,0.06025521480773315,0.027100809090115585,0.12197856576680915,-0.21197717981283035,0.26617879799306154,8.966104274930782
1985-1991,7.90624331336604,0.0252388056310836,0.01678007129181705,-0.007650134100877819,0.05812774536304502,0.026132923051182894,0.12258542256531886,-0.21413450517684207,0.26640035127920786,8.966104274930782
1985-1991,7.945383020233156,0.024305422967134404,0.01617092182895271,-0.00738958381761291,0.056000429751881714,0.025165037012250174,0.12319227936382858,-0.21629183054085385,0.2666219045653542,8.966104274930782
1985-1991,7.984522727100272,0.023371967903831715,0.01556188814375583,-0.007129332857929712,0.05387326866559314,0.024197150973317483,0.12379913616233829,-0.21844915590486555,0.26684345785150054,8.966104274930782
1985-1991,8.023662433967388,0.02243843412300477,0.014952974417062526,-0.006869395734437782,0.05174626398044732,0.02322926493438479,0.124405992960848,-0.2206064812688773,0.2670650111376469,8.966104274930782
1985-1991,8.062802140834505,0.021504815438129692,0.014344185556476007,-0.006609788252563281,0.049619419128822666,0.022261378895452072,0.12501284975935772,-0.22276380663288906,0.26728656442379317,8.966104274930782
1985-1991,8.10194184770162,0.02057110576762373,0.01373552725297974,-0.0063505276482165585,0.04749273918346402,0.021293492856519408,0.12561970655786742,-0.22492113199690073,0.26750811770993954,8.966104274930782
1985-1991,8.141081554568736,0.019637299459877553,0.013127006477740183,-0.006091633236493203,0.04536623215624831,0.02032560681758669,0.12622656335637714,-0.2270784573609125,0.2677296709960859,8.966104274930782
1985-1991,8.180221261435852,0.018703391436867556,0.012518631912384856,-0.005833127111406759,0.04323990998514187,0.019357720778653997,0.12683342015488686,-0.22923578272492423,0.2679512242822322,8.966104274930782
1985-1991,8.219360968302968,0.017769377049636024,0.011910414253221133,-0.005575034886677394,0.041113788985949445,0.018389834739721278,0.12744027695339658,-0.231393108088936,0.26817277756837854,8.966104274930782
1985-1991,8.258500675170083,0.016835251819454986,0.011302366560160622,-0.005317386638459834,0.038987890277369805,0.017421948700788614,0.12804713375190627,-0.23355043345294768,0.2683943308545249,8.966104274930782
1985-1991,8.2976403820372,0.015901011417196395,0.010694504957873031,-0.005060218300234745,0.036862241134627535,0.016454062661855895,0.128653990550416,-0.23570775881695943,0.2686158841406712,8.966104274930782
1985-1991,8.336780088904316,0.014966652043911286,0.01008684997224388,-0.004803573901686715,0.034736877989509286,0.015486176622923203,0.1292608473489257,-0.23786508418097116,0.26883743742681754,8.966104274930782
1985-1991,8.375919795771432,0.014032170293514432,0.009479427944599815,-0.004547508477901207,0.032611849064930074,0.014518290583990484,0.1298677041474354,-0.2400224095449829,0.2690589907129639,8.966104274930782
1985-1991,8.415059502638549,0.013097563107923588,0.008872273111143494,-0.0042920921899176605,0.030487218405764835,0.013550404545057765,0.13047456094594514,-0.24217973490899472,0.2692805439991103,8.966104274930782
1985-1991,8.454199209505664,0.012162828015264589,0.008265430889574077,-0.0040374165283006,0.028363072558829777,0.012582518506125101,0.1310814177444548,-0.2443370602730063,0.26950209728525654,8.966104274930782
1985-1991,8.49333891637278,0.011227963132983868,0.007658962490957019,-0.0037836033492918888,0.026239529615259626,0.01161463246719241,0.13168827454296453,-0.2464943856370181,0.2697236505714029,8.966104274930782
1985-1991,8.532478623239896,0.010292967595949436,0.007052952369907257,-0.0035308190490687882,0.02411675424096766,0.01064674642825969,0.13229513134147425,-0.24865171100102984,0.2699452038575492,8.966104274930782
1985-1991,8.571618330107011,0.0093578418204312,0.006447519631299841,-0.0032792966569164875,0.02199498029777889,0.009678860389327026,0.13290198813998394,-0.2508090363650415,0.27016675714369554,8.966104274930782
1985-1991,8.610758036974127,0.008422586945596194,0.00584283527025466,-0.0030293701841029395,0.019874544075295326,0.008710974350394307,0.13350884493849366,-0.25296636172905324,0.27038831042984185,8.966104274930782
1985-1991,8.649897743841244,0.007487204776410332,0.005239151922006427,-0.0027815329907222653,0.01775594254354293,0.007743088311461616,0.1341157017370034,-0.2551236870930651,0.2706098637159883,8.966104274930782
1985-1991,8.68903745070836,0.006551697539073752,0.00463685622831565,-0.0025365406684249225,0.015639935746572426,0.006775202272528896,0.13472255853551313,-0.2572810124570768,0.27083141700213464,8.966104274930782
1985-1991,8.728177157575477,0.005616068565636479,0.004036569269251401,-0.0022956072020962667,0.013527744333369224,0.005807316233596177,0.13532941533402282,-0.2594383378210885,0.2710529702882809,8.966104274930782
1985-1991,8.767316864442591,0.004680321907538459,0.003439347532968115,-0.0020607992570790467,0.011421443072155965,0.004839430194663513,0.1359362721325325,-0.2615956631851002,0.2712745235744273,8.966104274930782
1985-1991,8.806456571309708,0.0037444621467632977,0.0028471309807395007,-0.0018359145754861237,0.00932483886901272,0.0038715441557308217,0.13654312893104223,-0.26375298854911194,0.2714960768605736,8.966104274930782
1985-1991,8.845596278176824,0.0028084943051561724,0.0022638696712674045,-0.0016286902505279403,0.007245678860840285,0.0029036581167981024,0.13714998572955195,-0.2659103139131237,0.2717176301467199,8.966104274930782
1985-1991,8.884735985043939,0.0018724237748392323,0.0016988442110227498,-0.001457310878765357,0.005202158428443821,0.0019357720778654386,0.13775684252806164,-0.2680676392771354,0.27193918343286627,8.966104274930782
1985-1991,8.923875691911055,9.362567075070257e-4,0.0011786382754168823,-0.0013738743123100636,0.003246387727324115,9.678860389327193e-4,0.13836369932657136,-0.27022496464114715,0.2721607367190126,8.966104274930782
1985-1991,8.963015398778172,0,7.966293374182941e-4,-0.0015613935013398565,0.0015613935013398565,0,0.13897055612508108,-0.2723822900051589,0.2723822900051589,8.966104274930782
1985-1991,9.002155105645288,-9.36338910996149e-4,7.890155959715911e-4,-0.0024828094791004675,6.101316571081695e-4,-9.678860389326915e-4,0.1395774129235908,-0.2745396153691706,0.27260384329130527,8.966104274930782
1985-1991,9.041294812512405,-0.0018727523406386504,0.0011632566344516263,-0.004152735344163838,4.072306628865373e-4,-0.0019357720778654108,0.14018426972210052,-0.2766969407331824,0.27282539657745164,8.966104274930782
1985-1991,9.08043451937952,-0.0028092322500098436,0.0016812762361116246,-0.006104533672788627,4.8606917276894064e-4,-0.0029036581167980746,0.1407911265206102,-0.2788542660971941,0.2730469498635979,8.966104274930782
1985-1991,9.119574226246636,-0.0037457702514123096,0.002245738360897466,-0.008147417438771343,6.558769359467239e-4,-0.003871544155730794,0.1413979833191199,-0.2810115914612058,0.27326850314974416,8.966104274930782
1985-1991,9.158713933113752,-0.00468235772923791,0.0028290196741309606,-0.010227236290534594,8.62520832058772e-4,-0.0048394301946634855,0.14200484011762965,-0.2831689168252176,0.27349005643589064,8.966104274930782
1985-1991,9.197853639980867,-0.005618985958434,0.0034215439911242426,-0.012325212181037515,0.0010872402641695159,-0.005807316233596149,0.1426116969161393,-0.2853262421892292,0.2737116097220369,8.966104274930782
1985-1991,9.236993346847983,-0.00655564613122784,0.004019256023312337,-0.01443338793692002,0.00132209567446434,-0.0067752022725288685,0.14321855371464906,-0.287483567553241,0.27393316300818327,8.966104274930782
1985-1991,9.2761330537151,-0.007492329422914575,0.004620169710848648,-0.016547862056177923,0.0015632032103487748,-0.007743088311461588,0.14382541051315875,-0.28964089291725276,0.2741547162943296,8.966104274930782
1985-1991,9.315272760582216,-0.008429027074234334,0.005223204609819853,-0.018666508109481245,0.0018084539610125766,-0.00871097435039428,0.1444322673116685,-0.2917982182812645,0.274376269580476,8.966104274930782
1985-1991,9.354412467449333,-0.009365730468178308,0.005827725174153662,-0.020788071809519484,0.0020566108731628688,-0.009678860389326999,0.14503912411017822,-0.2939555436452763,0.27459782286662227,8.966104274930782
1985-1991,9.393552174316447,-0.010302431069608408,0.00643333379573541,-0.022911765309249814,0.0023069031700329954,-0.010646746428259662,0.14564598090868788,-0.2961128690092879,0.27481937615276864,8.966104274930782
1985-1991,9.432691881183564,-0.011239120439603604,0.007039769446043932,-0.025037068553849712,0.002558827674642503,-0.011614632467192382,0.1462528377071976,-0.2982701943732997,0.2750409294389149,8.966104274930782
1985-1991,9.47183158805068,-0.012175790529514131,0.007646854593080066,-0.02716362553195106,0.002812044472922798,-0.012582518506125073,0.14685969450570732,-0.3004275197373114,0.27526248272506126,8.966104274930782
1985-1991,9.510971294917796,-0.01311243365365399,0.008254464714608436,-0.029291184494286526,0.0030663171869785445,-0.013550404545057793,0.14746655130421704,-0.30258484510132316,0.2754840360112076,8.966104274930782
1985-1991,9.550111001784913,-0.014049042716146466,0.00886251056258616,-0.03141956341881534,0.0033214779865224087,-0.014518290583990512,0.14807340810272676,-0.30474217046533497,0.27570558929735395,8.966104274930782
1985-1991,9.589250708652028,-0.01498561083486153,0.009470926566408707,-0.0335486269050226,0.0035774052352995356,-0.015486176622923176,0.14868026490123645,-0.3068994958293466,0.27592714258350026,8.966104274930782
1985-1991,9.628390415519144,-0.015922131317886567,0.010079663762166896,-0.03567827229173368,0.003834009655960549,-0.016454062661855867,0.14928712169974617,-0.3090568211933583,0.27614869586964663,8.966104274930782
1985-1991,9.66753012238626,-0.016858597569993423,0.01068868510028691,-0.03780842036655577,0.00409122522656892,-0.017421948700788586,0.1498939784982559,-0.3112141465573701,0.276370249155793,8.966104274930782
1985-1991,9.706669829253375,-0.01779500343590991,0.011297962559500843,-0.03993901005253156,0.004349003180711745,-0.01838983473972125,0.15050083529676558,-0.3133714719213818,0.27659180244193926,8.966104274930782
1985-1991,9.7458095361204915,-0.018731343485828948,0.011907475072479726,-0.04206999462788921,0.004607307656231314,-0.01935772077865397,0.1511076920952753,-0.3155287972853935,0.27681335572808563,8.966104274930782
1985-1991,9.784949242987608,-0.019667613028228514,0.012517206854335423,-0.04420133846272595,0.004866112406268917,-0.02032560681758666,0.15171454889378502,-0.3176861226494053,0.277034909014232,8.966104274930782
1985-1991,9.824088949854724,-0.020603807877150073,0.013127146050049427,-0.04633301413524695,0.005125398380946805,-0.02129349285651938,0.15232140569229474,-0.3198434480134171,0.2772564623003783,8.966104274930782
1985-1991,9.86322865672184,-0.021539924882425714,0.013737284030976946,-0.04846500158314053,0.005385151818289097,-0.0222613788954521,0.15292826249080443,-0.3220007733774288,0.2774780155865246,8.966104274930782
1985-1991,9.902368363588955,-0.02247596235905797,0.01434761473619806,-0.05059728724200617,0.005645362523890227,-0.023229264934384763,0.15353511928931413,-0.32415809874144047,0.27769956887267094,8.966104274930782
1985-1991,9.941508070456072,-0.023411919615760363,0.014958133780249318,-0.052729861825049025,0.0059060225935283,-0.024197150973317455,0.15414197608782385,-0.3263154241054522,0.27792112215881726,8.966104274930782
1985-1991,9.980647777323188,-0.02434779693174971,0.015568837899149925,-0.05486271921408356,0.006167125350584144,-0.025165037012250174,0.15474883288633356,-0.3284727494694639,0.2781426754449636,8.966104274930782
1985-1991,10.019787484190303,-0.025283595447221967,0.01617972446935141,-0.056995855407150735,0.006428664512706801,-0.026132923051182838,0.15535568968484328,-0.3306300748334756,0.27836422873111,8.966104274930782
