seed,drop_frac,n_drop,n_keep,n_hauls,converged,phase,fp_slope,p_value
79,0.25,40,118,7901,TRUE,2002-2007,0.10637426083802196,1.9371321752236575e-8
79,0.25,40,118,7901,TRUE,2008-2015,0.042138653071696876,0.018731657120856362
80,0.25,40,118,7861,TRUE,1985-1991,-0.008092178068114199,0.6460680263485051
80,0.25,40,118,7861,TRUE,1992-2001,0.015615407831399102,0.32356848503099084
80,0.25,40,118,7861,TRUE,2002-2007,0.1174155970301841,1.7818766686231694e-11
80,0.25,40,118,7861,TRUE,2008-2015,0.041932271410776635,0.01126779596427361
81,0.25,40,118,7760,TRUE,1985-1991,-0.03658994955355365,0.05791369985968914
81,0.25,40,118,7760,TRUE,1992-2001,0.01333345372300268,0.4557079410726818
81,0.25,40,118,7760,TRUE,2002-2007,0.12481909844118858,8.861576259650699e-11
81,0.25,40,118,7760,TRUE,2008-2015,0.04896234916811346,0.007658247009536469
82,0.25,40,118,7724,TRUE,1985-1991,-0.0184267969243932,0.2917341231013003
82,0.25,40,118,7724,TRUE,1992-2001,0.013361362772100673,0.4012708433798124
82,0.25,40,118,7724,TRUE,2002-2007,0.11011430447076656,2.2622677320480162e-10
82,0.25,40,118,7724,TRUE,2008-2015,0.04794036668003032,0.003474523498202219
83,0.25,40,118,7751,TRUE,1985-1991,-0.013897745206871853,0.41377066020538267
83,0.25,40,118,7751,TRUE,1992-2001,0.02658826827652663,0.08206321557230231
83,0.25,40,118,7751,TRUE,2002-2007,0.1394606182800658,9.52027237152069e-17
83,0.25,40,118,7751,TRUE,2008-2015,0.0692658740445266,1.3221990422268974e-5
84,0.25,40,118,7798,TRUE,1985-1991,-0.020249640729424638,0.2541910745093784
84,0.25,40,118,7798,TRUE,1992-2001,0.02321852532666658,0.14713145220917914
84,0.25,40,118,7798,TRUE,2002-2007,0.136906903716524,7.84969865036311e-15
84,0.25,40,118,7798,TRUE,2008-2015,0.06309972727018584,1.2894851955527005e-4
85,0.25,40,118,7820,TRUE,1985-1991,-0.018132232613270148,0.34230682593087125
85,0.25,40,118,7820,TRUE,1992-2001,0.002242206421351294,0.8988801511601815
85,0.25,40,118,7820,TRUE,2002-2007,0.1246024356478268,7.928648799817808e-11
85,0.25,40,118,7820,TRUE,2008-2015,0.04600857292837677,0.011443572137255506
86,0.25,40,118,7864,TRUE,1985-1991,-0.02342336507494705,0.20232409197654902
86,0.25,40,118,7864,TRUE,1992-2001,0.016908013201351442,0.31442717407216797
86,0.25,40,118,7864,TRUE,2002-2007,0.12023730577260447,6.107076921837974e-11
86,0.25,40,118,7864,TRUE,2008-2015,0.05416591400419153,0.002073596366334722
87,0.25,40,118,7665,TRUE,1985-1991,-0.0393317689548116,0.02718806608815854
87,0.25,40,118,7665,TRUE,1992-2001,0.007997662276211792,0.6279536226122595
87,0.25,40,118,7665,TRUE,2002-2007,0.10984110245653597,7.043907647981337e-10
87,0.25,40,118,7665,TRUE,2008-2015,0.04035794254306358,0.017442500212662117
88,0.25,40,118,7817,TRUE,1985-1991,-0.029793256107597477,0.1068203762746561
88,0.25,40,118,7817,TRUE,1992-2001,0.014093054112967345,0.41075709483581746
88,0.25,40,118,7817,TRUE,2002-2007,0.11380795194567725,1.1153258022082253e-9
88,0.25,40,118,7817,TRUE,2008-2015,0.044282734757592604,0.012483531664154966
89,0.25,40,118,7784,TRUE,1985-1991,-0.024095963645056152,0.181274974658068
89,0.25,40,118,7784,TRUE,1992-2001,0.02686912237887923,0.10011079519280827
89,0.25,40,118,7784,TRUE,2002-2007,0.13282084265381078,1.452255734680753e-13
89,0.25,40,118,7784,TRUE,2008-2015,0.0556926776778961,9.064815107340139e-4
90,0.25,40,118,7839,TRUE,1985-1991,-0.04344455094945118,0.01680607338852236
90,0.25,40,118,7839,TRUE,1992-2001,0.015243209399561211,0.3591145917647883
90,0.25,40,118,7839,TRUE,2002-2007,0.14256310122492183,4.5656737023206734e-15
90,0.25,40,118,7839,TRUE,2008-2015,0.06724660946653244,8.028558846016679e-5
91,0.25,40,118,7917,TRUE,1985-1991,-0.015417764957840916,0.4071765578672575
91,0.25,40,118,7917,TRUE,1992-2001,0.021002537458824827,0.2121809165243351
91,0.25,40,118,7917,TRUE,2002-2007,0.13832850308304873,1.0167984892107539e-13
91,0.25,40,118,7917,TRUE,2008-2015,0.06880267693167721,1.0128029072581108e-4
92,0.25,40,118,7720,TRUE,1985-1991,-0.019755242277785558,0.29955057600815665
92,0.25,40,118,7720,TRUE,1992-2001,0.026459195908948102,0.13644577008192982
92,0.25,40,118,7720,TRUE,2002-2007,0.12698813773295697,3.1973732374434035e-11
92,0.25,40,118,7720,TRUE,2008-2015,0.06084373131891443,8.454350295912365e-4
93,0.25,40,118,7774,TRUE,1985-1991,-0.03749174793052094,0.03323789315200543
93,0.25,40,118,7774,TRUE,1992-2001,0.008092451441889026,0.6135581873594873
93,0.25,40,118,7774,TRUE,2002-2007,0.12018599305952749,5.848676769050851e-12
93,0.25,40,118,7774,TRUE,2008-2015,0.04211557748604095,0.011035305315970523
94,0.25,40,118,7830,TRUE,1985-1991,-0.026587701361283612,0.13576597454546702
94,0.25,40,118,7830,TRUE,1992-2001,0.017816418229737764,0.27734673891773376
94,0.25,40,118,7830,TRUE,2002-2007,0.13260268427696023,2.4125565938885027e-13
94,0.25,40,118,7830,TRUE,2008-2015,0.06808171331859586,6.344155117675111e-5
95,0.25,40,118,7809,TRUE,1985-1991,-0.024271302260846245,0.17231265548066174
95,0.25,40,118,7809,TRUE,1992-2001,0.019854508448295703,0.2263816006259155
95,0.25,40,118,7809,TRUE,2002-2007,0.12352456089508186,4.193058194709219e-12
95,0.25,40,118,7809,TRUE,2008-2015,0.05352286700406808,0.0016931542165659328
