stat_rec,year,mean_ln_B_obs_ry,n_hauls_ry,B_lag_neighbour,n_neighbours_used
35F2,1995,9.131811624124872,2,10.6916078453709,4
35F3,1995,11.742403712887558,2,11.43304846234479,4
35F4,1995,11.948911622697707,2,11.784727953367902,4
36F0,1995,11.528350475568374,2,11.643006421829183,4
36F1,1995,10.514054774561522,2,10.797333714657988,4
36F2,1995,10.98762613751969,2,11.030728563383388,4
36F3,1995,12.617103325871978,2,11.229430456855727,4
36F4,1995,11.107693434484165,2,11.848138161611043,4
36F5,1995,11.112728530854039,2,11.196007235270372,4
36F6,1995,11.373419262964362,2,11.093044804892873,4
36F7,1995,11.093073247804497,2,11.648830050133604,4
37E9,1995,12.685790471971263,2,12.961708461770652,4
37F0,1995,13.679530646033026,2,12.239947394821428,4
37F1,1995,11.089508398264865,2,11.941989026730933,4
37F2,1995,11.859944528975179,3,11.0222095567021,4
37F3,1995,11.079998542531499,2,11.702158861599461,4
37F4,1995,11.71380916702045,2,11.228302249322148,4
37F5,1995,10.589107076612514,2,11.345345537314625,4
37F6,1995,11.577270364300446,2,11.329596135781248,4
37F7,1995,11.871363190502073,2,11.707785934881372,4
37F8,1995,11.773267382767532,2,11.56697633365956,4
38E9,1995,12.982812491999997,2,13.102110188819099,4
38F0,1995,13.65614023348121,2,13.30330835672773,4
38F1,1995,11.714426157354008,2,11.99697321071507,4
38F2,1995,10.931705148492343,2,11.352259227811176,4
38F3,1995,10.617778424530236,2,11.364617124866362,4
38F4,1995,12.136409943660418,2,11.13390091775823,4
38F5,1995,10.977574087083566,2,11.257143875130584,4
38F6,1995,11.484495013046047,2,11.623032277585358,4
38F7,1995,12.387532744653015,2,11.601807373638591,4
38F8,1995,10.915936151678654,1,11.591595718023171,4
39E8,1995,12.417353558005322,2,12.636597861406766,4
39E9,1995,13.649156491818598,2,13.16778262580251,4
39F0,1995,14.836464131523888,2,13.132150069361769,4
39F1,1995,12.310539062621867,2,12.686916563806639,4
39F2,1995,11.21688780038528,2,11.909659817292336,4
39F3,1995,11.310354864781186,2,11.11112557676027,4
39F4,1995,11.22644199239867,2,11.452622155335572,4
39F5,1995,10.81856346720336,2,11.42391478008794,4
39F6,1995,11.549751914304405,2,11.231176400598631,4
39F7,1995,12.13543513932759,2,11.258749421811347,4
39F8,1995,10.070147605344552,1,11.616617364650669,4
40E8,1995,11.479922140127645,2,12.421824664441967,4
40E9,1995,12.434500321680826,2,12.642785872275022,4
40F0,1995,12.912764489525403,2,13.33026333248394,4
40F1,1995,12.979888165963377,2,12.668041301617544,4
40F2,1995,13.086040193273949,2,12.2022557011443,4
40F3,1995,11.383394089726895,2,11.89589408448215,4
40F4,1995,11.545160345697326,2,11.479365779267843,4
40F5,1995,11.941891126565123,2,10.979964627616111,4
40F6,1995,10.486211982817526,2,11.313633069087027,4
40F7,1995,11.027565422943416,3,11.05680747329426,4
41E7,1995,12.086551951518741,2,12.067952061871722,4
41E8,1995,12.748892826562983,2,12.002971464623002,4
41E9,1995,12.52930036762844,2,12.51179092779514,4
41F0,1995,13.070200710767669,2,12.555990739117142,4
41F1,1995,12.36282146104896,2,12.959588082963005,4
41F2,1995,13.228852748501646,2,12.522376349803528,4
41F3,1995,11.642020934176138,2,12.205644260287823,4
41F4,1995,11.365735908380685,2,11.403653549110459,4
41F5,1995,11.069922714746234,2,11.416769952151395,4
41F6,1995,10.735323812535164,2,10.85435613282768,4
41F7,1995,10.870258958496763,3,10.909598998913484,4
42E7,1995,12.126881881579083,1,12.084185506704705,4
42E8,1995,11.91611139921718,2,12.063632602457766,4
42E9,1995,11.793569852169082,2,12.166068774490853,4
