stat_rec,n_hauls,mean_D,mean_size_CV,year_min_seen,year_max_seen,mean_annual_hours_total
41F5,66,0.6160150183315655,0.46041788705015935,1985,2015,28195.161290322583
41F6,63,0.5577247031322818,0.6019733647599876,1985,2015,23953.064516129034
41F7,69,0.581341946765041,0.5954428743022727,1985,2015,27881.51612903226
41G0,26,0.6245774870794101,0.44790051414497883,1989,2015,NA
41G1,62,0.589876674587033,0.4832614284674847,1985,2015,NA
41G2,61,0.6517525468975744,0.44734701680082456,1985,2015,NA
42E7,48,0.5452553661697751,0.540663194393745,1985,2015,7922.838709677421
42E8,62,0.5572071876081233,0.5256231168582786,1985,2015,2992.266666666666
42E9,65,0.5111213995912071,0.527440474463708,1985,2015,1818.1935483870968
42F0,60,0.500589948705789,0.5083040674205452,1985,2015,6588.322580645162
42F1,59,0.6252419934504029,0.4130269434771732,1985,2015,1583.548387096774
42F2,67,0.5807047407549799,0.4368055388057413,1985,2015,2741.8709677419356
42F3,66,0.6780750277499764,0.5360528980146191,1985,2015,5021.4838709677415
42F4,75,0.7198569265112746,0.5151611277874403,1985,2015,6529.806451612904
42F5,76,0.6720755623960265,0.3930484366462639,1985,2015,8067.16129032258
42F6,77,0.579359656497501,0.5163841464876634,1985,2015,22363.483870967742
42F7,69,0.6226432165932948,0.6409235588295806,1985,2015,30018.290322580648
42G1,94,0.5662127202462833,0.5316342652215866,1985,2015,NA
42G2,103,0.6708725185411529,0.5192328219603356,1985,2015,NA
43E8,69,0.5570858214685109,0.45687311809043857,1985,2015,8223.096774193551
43E9,65,0.5562979988651737,0.511414098270999,1985,2015,4008.4838709677415
43F0,60,0.5218684648447659,0.5571661512176421,1985,2015,3049.58064516129
43F1,63,0.5919991294087804,0.4631674932655829,1985,2015,1343.2258064516127
43F2,67,0.5720638429068906,0.48374321443647234,1985,2015,1632.2258064516127
43F3,67,0.6521999994664577,0.513576783795192,1985,2015,3922.096774193548
43F4,67,0.661831207899335,0.5327119083299344,1985,2015,9097.032258064517
43F5,62,0.6615991534445872,0.5473258172185363,1985,2015,11198.064516129034
43F6,64,0.6118738918601371,0.509555638053062,1985,2015,14120.580645161292
43F7,62,0.5600496429879656,0.6564185149052892,1985,2015,42260.516129032265
43F8,61,0.5603516043353831,0.571444514487415,1985,2015,NA
43G0,29,0.6233160758200438,0.5261946835466792,1986,2015,NA
43G1,150,0.6085586355544568,0.579447559033283,1985,2015,NA
43G2,52,0.6436392749377065,0.5199729981212057,1986,2015,NA
44E6,61,0.5718215753989419,0.3954929340558834,1985,2015,20294.709677419352
44E7,65,0.5838828874052064,0.39949787724783353,1985,2015,24286.064516129034
44E8,64,0.5482561746496892,0.5743611812387304,1985,2015,14197.516129032263
44E9,66,0.5404035555519269,0.5101426954070131,1985,2015,9177.580645161292
44F0,65,0.5249915783108524,0.5069826641161481,1985,2015,12888.258064516132
44F1,64,0.5579478662621824,0.471546962531903,1985,2015,2449.58064516129
44F2,68,0.6089081937925299,0.47199122795242365,1985,2015,4418.032258064517
44F3,65,0.6124957918482727,0.5313780485701135,1985,2015,9339
44F4,65,0.6265237839321094,0.5459911117422612,1985,2015,6970
44F5,66,0.6527672688120559,0.5514308590820347,1985,2015,19268.709677419356
44F8,98,0.5273571561729246,0.553080308669949,1985,2015,NA
44F9,93,0.5736813461687257,0.4773273731254814,1985,2015,NA
44G0,120,0.4976553831005442,0.5976130977678615,1985,2015,NA
44G1,110,0.5363067850026271,0.5502584357025989,1985,2015,NA
45E6,60,0.5127327193494844,0.4233695405835094,1985,2015,1095.1290322580646
