variable,stat_rec,n_years_paired,correlation,p_value
size_CV vs fishing_hours,45F0,31,-0.3044035985511336,0.0959170923052823
size_CV vs fishing_hours,45F1,31,0.20554534619686804,0.2673028511326818
size_CV vs fishing_hours,45F2,31,-3.3860807236936306e-4,0.9985575759107228
size_CV vs fishing_hours,45F3,31,0.3587587259105553,0.04748656956835844
size_CV vs fishing_hours,45F4,31,-0.3106036840160836,0.0890076596909095
size_CV vs fishing_hours,46E6,11,-0.3358859109158074,0.31255539842197483
size_CV vs fishing_hours,46E7,31,-0.14115405784342858,0.44879801261924135
size_CV vs fishing_hours,46E8,31,0.28149554514740294,0.1250036990122364
size_CV vs fishing_hours,46E9,31,-0.3595646393641021,0.046954522822779884
size_CV vs fishing_hours,46F0,31,-0.037518587939072257,0.8411829294407954
size_CV vs fishing_hours,46F1,31,0.0076988911956974646,0.9672125050173805
size_CV vs fishing_hours,46F2,31,0.20704969576983892,0.2637403164413157
size_CV vs fishing_hours,46F3,31,-0.06551516539276185,0.7262190149967112
size_CV vs fishing_hours,47E6,10,0.632493919611166,0.049717427190790794
size_CV vs fishing_hours,47E7,29,0.48717058706225336,0.0073550350059775425
size_CV vs fishing_hours,47E8,31,-0.12871488530823638,0.49014208818088
size_CV vs fishing_hours,47E9,31,0.06279491557652514,0.7371792629724823
size_CV vs fishing_hours,47F0,31,-0.06742221189989185,0.7185666609094689
size_CV vs fishing_hours,47F1,31,0.1131991037275771,0.5443025029962797
size_CV vs fishing_hours,47F2,30,0.15775723110901357,0.4050769371939724
size_CV vs fishing_hours,47F3,31,-0.05332690276217598,0.7757108242654132
size_CV vs fishing_hours,48E7,23,-0.1128839570129315,0.6080728769662704
size_CV vs fishing_hours,48E8,27,-0.03882274536403041,0.8475420780665257
size_CV vs fishing_hours,48E9,31,0.2692298900310225,0.14302783673477304
size_CV vs fishing_hours,48F0,31,0.0101518208766219,0.956774656908159
size_CV vs fishing_hours,48F1,31,0.31352638354488976,0.08588535722265972
size_CV vs fishing_hours,48F2,31,0.2479459857920681,0.1786621244641508
size_CV vs fishing_hours,48F3,31,-0.09657054151560156,0.6052978934239261
size_CV vs fishing_hours,49E7,6,0.8119358965405733,0.04972642484705077
size_CV vs fishing_hours,49E8,26,-0.07474015894250706,0.7167044624408261
size_CV vs fishing_hours,49E9,26,0.052749884516765704,0.7980108607194837
size_CV vs fishing_hours,49F0,31,0.1603128048566238,0.3889652057489299
size_CV vs fishing_hours,49F1,31,0.22617013296845137,0.2211624313846054
size_CV vs fishing_hours,49F2,31,0.24322180004626467,0.18735198879341472
size_CV vs fishing_hours,49F3,31,0.08908164205843903,0.6336806082333093
size_CV vs fishing_hours,50E7,6,0.0626906730599883,0.9060871813593397
size_CV vs fishing_hours,50E8,24,0.5135100071277554,0.010272713082192778
size_CV vs fishing_hours,50E9,29,0.013074467824479165,0.9463318802974556
size_CV vs fishing_hours,50F0,31,0.22203850199023809,0.2299408050311113
size_CV vs fishing_hours,50F1,30,0.11015501166382081,0.5622687687200186
size_CV vs fishing_hours,50F2,31,0.0840396573795148,0.6530846437932845
size_CV vs fishing_hours,50F3,30,-0.41284525990671017,0.023367353739987405
size_CV vs fishing_hours,51E8,26,-0.06809601171253578,0.7409995022531402
size_CV vs fishing_hours,51E9,30,-0.007546480457263926,0.968429638421825
size_CV vs fishing_hours,51F0,31,0.05877869043200731,0.7534535785091806
size_CV vs fishing_hours,51F1,31,-0.004113563471020309,0.9824781072782554
size_CV vs fishing_hours,51F2,30,0.14604183069854423,0.4412658501759402
