stat_rec,comparison,decade_from,decade_to,value_from,value_to,abs_change,pct_change
43F4,decade2_minus_decade1,1985-1994,1995-2004,17726.9,8628.4,-9098.500000000002,-51.325950955891905
43F5,decade2_minus_decade1,1985-1994,1995-2004,21711.6,9251.9,-12459.699999999999,-57.38729527073086
43F6,decade2_minus_decade1,1985-1994,1995-2004,18963.1,14934.8,-4028.2999999999993,-21.242834768576866
43F7,decade2_minus_decade1,1985-1994,1995-2004,52647.3,46577.1,-6070.200000000004,-11.529936008114385
44E6,decade2_minus_decade1,1985-1994,1995-2004,26435.3,21186.7,-5248.5999999999985,-19.854512715951774
44E7,decade2_minus_decade1,1985-1994,1995-2004,48175.4,17696.5,-30478.9,-63.26652191782528
44E8,decade2_minus_decade1,1985-1994,1995-2004,34297,8016.4,-26280.6,-76.62652710149575
44E9,decade2_minus_decade1,1985-1994,1995-2004,15043.5,9456,-5587.5,-37.14228736663675
44F0,decade2_minus_decade1,1985-1994,1995-2004,22027,14034.5,-7992.5,-36.285013846642755
44F1,decade2_minus_decade1,1985-1994,1995-2004,4923.6,2067.8,-2855.8,-58.002274758306925
44F2,decade2_minus_decade1,1985-1994,1995-2004,9616.5,3235.9,-6380.6,-66.3505433369729
44F3,decade2_minus_decade1,1985-1994,1995-2004,19223.3,6172.300000000001,-13050.999999999998,-67.89156908543278
44F4,decade2_minus_decade1,1985-1994,1995-2004,12586.4,5627.3,-6959.0999999999995,-55.290631157439776
44F5,decade2_minus_decade1,1985-1994,1995-2004,21698.7,25547.2,3848.5,17.736085571946706
44F6,decade2_minus_decade1,1985-1994,1995-2004,19917.6,20176.7,259.1000000000022,1.300859541310209
45E6,decade2_minus_decade1,1985-1994,1995-2004,1961.6,739.1,-1222.5,-62.321574225122355
45E7,decade2_minus_decade1,1985-1994,1995-2004,8893,2932.6,-5960.4,-67.0235016304959
45E8,decade2_minus_decade1,1985-1994,1995-2004,30613.7,15878.8,-14734.900000000001,-48.13171880563278
45E9,decade2_minus_decade1,1985-1994,1995-2004,18749.3,16320.6,-2428.699999999999,-12.953550265876586
