stat_rec,comparison,decade_from,decade_to,value_from,value_to,abs_change,pct_change,abs_change_magnitude,change_tercile,change_class
36F7,decade3_minus_decade1,1985-1994,2005-2015,16233.9,46270.63636363636,30036.73636363636,185.02477139588368,30036.73636363636,3,large_change
36F8,decade3_minus_decade1,1985-1994,2005-2015,4882,47458.36363636364,42576.36363636364,872.1090462180181,42576.36363636364,3,large_change
37E9,decade3_minus_decade1,1985-1994,2005-2015,42072.9,6590.545454545454,-35482.354545454546,-84.33541435331186,35482.354545454546,3,large_change
37F0,decade3_minus_decade1,1985-1994,2005-2015,52022.8,7245.090909090909,-44777.70909090909,-86.07323921609196,44777.70909090909,3,large_change
37F1,decade3_minus_decade1,1985-1994,2005-2015,50133.3,9533.818181818182,-40599.48181818182,-80.98306279096293,40599.48181818182,3,large_change
37F2,decade3_minus_decade1,1985-1994,2005-2015,43951.7,17456.454545454544,-26495.245454545453,-60.28264084107203,26495.245454545453,3,large_change
37F3,decade3_minus_decade1,1985-1994,2005-2015,19994,6023.363636363636,-13970.636363636364,-69.87414406140024,13970.636363636364,3,large_change
37F4,decade3_minus_decade1,1985-1994,2005-2015,28703.2,14057.272727272728,-14645.927272727273,-51.025416234870235,14645.927272727273,3,large_change
37F5,decade3_minus_decade1,1985-1994,2005-2015,22736.9,16051.818181818182,-6685.0818181818195,-29.40190535289252,6685.0818181818195,2,moderate
37F6,decade3_minus_decade1,1985-1994,2005-2015,31470.7,15173,-16297.7,-51.78690019605538,16297.7,3,large_change
37F7,decade3_minus_decade1,1985-1994,2005-2015,43395.6,21853.909090909092,-21541.690909090907,-49.64026516303706,21541.690909090907,3,large_change
37F8,decade3_minus_decade1,1985-1994,2005-2015,28703.7,95493.45454545454,66789.75454545455,232.68691682763736,66789.75454545455,3,large_change
38E8,decade3_minus_decade1,1985-1994,2005-2015,32913,29610,-3303,-10.035548263604047,3303,1,stable
38E9,decade3_minus_decade1,1985-1994,2005-2015,42866.3,11153.727272727272,-31712.57272727273,-73.98019592843966,31712.57272727273,3,large_change
38F0,decade3_minus_decade1,1985-1994,2005-2015,23626.5,1798.3636363636363,-21828.136363636364,-92.38836206647774,21828.136363636364,3,large_change
38F1,decade3_minus_decade1,1985-1994,2005-2015,31088.4,6510.909090909091,-24577.49090909091,-79.0567893783241,24577.49090909091,3,large_change
38F2,decade3_minus_decade1,1985-1994,2005-2015,13033,2772,-10261,-78.73091383411341,10261,2,moderate
38F3,decade3_minus_decade1,1985-1994,2005-2015,13829.6,2901.818181818182,-10927.781818181818,-79.01733830466404,10927.781818181818,3,large_change
38F4,decade3_minus_decade1,1985-1994,2005-2015,19356.1,5263.818181818182,-14092.281818181817,-72.8053782434572,14092.281818181817,3,large_change
38F5,decade3_minus_decade1,1985-1994,2005-2015,12084.7,6540.181818181818,-5544.518181818183,-45.8804784712751,5544.518181818183,2,moderate
38F6,decade3_minus_decade1,1985-1994,2005-2015,25014.5,10736.727272727272,-14277.772727272728,-57.07798567739802,14277.772727272728,3,large_change
38F7,decade3_minus_decade1,1985-1994,2005-2015,30219.8,15897.545454545454,-14322.254545454545,-47.39361129277674,14322.254545454545,3,large_change
38F8,decade3_minus_decade1,1985-1994,2005-2015,4050.5,50786.09090909091,46735.59090909091,1153.8227603775067,46735.59090909091,3,large_change
39E8,decade3_minus_decade1,1985-1994,2005-2015,73393,24833.545454545456,-48559.454545454544,-66.16360490163169,48559.454545454544,3,large_change
39E9,decade3_minus_decade1,1985-1994,2005-2015,22712.1,12670.545454545454,-10041.554545454544,-44.21235616897841,10041.554545454544,2,moderate
39F0,decade3_minus_decade1,1985-1994,2005-2015,17492.9,2190,-15302.900000000001,-87.48063500048592,15302.900000000001,3,large_change
39F1,decade3_minus_decade1,1985-1994,2005-2015,30147.6,11078,-19069.6,-63.254123047937476,19069.6,3,large_change
39F2,decade3_minus_decade1,1985-1994,2005-2015,12762,2370.5454545454545,-10391.454545454546,-81.42496901312134,10391.454545454546,3,large_change
39F3,decade3_minus_decade1,1985-1994,2005-2015,19124.4,4687.272727272727,-14437.127272727274,-75.49061551069457,14437.127272727274,3,large_change
39F4,decade3_minus_decade1,1985-1994,2005-2015,21556.5,4480.545454545455,-17075.954545454544,-79.21487507459256,17075.954545454544,3,large_change
39F5,decade3_minus_decade1,1985-1994,2005-2015,19834.6,7598.272727272727,-12236.32727272727,-61.691827779371764,12236.32727272727,3,large_change
39F6,decade3_minus_decade1,1985-1994,2005-2015,49576.1,18332.363636363636,-31243.736363636363,-63.02177130439136,31243.736363636363,3,large_change
39F7,decade3_minus_decade1,1985-1994,2005-2015,53657,14861.90909090909,-38795.09090909091,-72.30201261548524,38795.09090909091,3,large_change
39F8,decade3_minus_decade1,1985-1994,2005-2015,17754.6,49592.09090909091,31837.490909090913,179.31967438912122,31837.490909090913,3,large_change
40E6,decade3_minus_decade1,1985-1994,2005-2015,55.6,20,-35.6,-64.02877697841727,35.6,1,stable
40E7,decade3_minus_decade1,1985-1994,2005-2015,23114.3,6497.090909090909,-16617.20909090909,-71.89146584975141,16617.20909090909,3,large_change
40E8,decade3_minus_decade1,1985-1994,2005-2015,20111.7,1534.4545454545455,-18577.245454545457,-92.37033892980432,18577.245454545457,3,large_change
40E9,decade3_minus_decade1,1985-1994,2005-2015,4841.4,1252,-3589.3999999999996,-74.13971165365389,3589.3999999999996,2,moderate
40F0,decade3_minus_decade1,1985-1994,2005-2015,6417.1,380.1818181818182,-6036.918181818182,-94.07548864468657,6036.918181818182,2,moderate
40F1,decade3_minus_decade1,1985-1994,2005-2015,6778,625.3636363636364,-6152.636363636364,-90.77362590198234,6152.636363636364,2,moderate
40F2,decade3_minus_decade1,1985-1994,2005-2015,7411.3,1217.8181818181818,-6193.481818181818,-83.56808951441471,6193.481818181818,2,moderate
40F3,decade3_minus_decade1,1985-1994,2005-2015,11901.1,1818.2727272727273,-10082.827272727272,-84.7218095195173,10082.827272727272,2,moderate
40F4,decade3_minus_decade1,1985-1994,2005-2015,17165.4,5462.363636363636,-11703.036363636365,-68.17805797497503,11703.036363636365,3,large_change
40F5,decade3_minus_decade1,1985-1994,2005-2015,28984.7,16719.636363636364,-12265.063636363637,-42.315648036252355,12265.063636363637,3,large_change
40F6,decade3_minus_decade1,1985-1994,2005-2015,25138.4,9437.181818181818,-15701.218181818183,-62.45909915435423,15701.218181818183,3,large_change
40F7,decade3_minus_decade1,1985-1994,2005-2015,38829.6,23304.363636363636,-15525.236363636363,-39.98299329283939,15525.236363636363,3,large_change
40F8,decade3_minus_decade1,1985-1994,2005-2015,3433.1,18614.272727272728,15181.172727272728,442.20013187127455,15181.172727272728,3,large_change
