stat_rec,n_hauls,mean_abs_residual,mean_annual_hours_total,cooks_distance,leverage,flagged_cooks
40F5,66,1.3516182197831228,24791.58064516129,0.0010944816883279335,0.01002378401256427,FALSE
37F6,94,1.3370133333561236,27076.870967741932,0.0010474808678561309,0.011914536169766387,FALSE
43F1,63,1.3998371578235143,1343.2258064516127,9.233526726442926e-4,0.013113985076430338,FALSE
43F6,64,1.2084431343872057,14120.580645161292,9.180091823656201e-4,0.006348154329289741,FALSE
41E7,67,1.2573116296333533,43508.967741935485,9.082937567458257e-4,0.03697335977428291,FALSE
34F3,84,1.1989304811297463,21291.41935483871,9.068294079209448e-4,0.007882658237478812,FALSE
36F1,74,1.2385699361350606,8523.193548387095,7.99183562434615e-4,0.007814140153188813,FALSE
39F5,78,1.3862522924222342,14405.935483870966,7.974553490101862e-4,0.006335985749112903,FALSE
42F3,66,1.2590795421626777,5021.4838709677415,7.520299565131744e-4,0.009918832775641132,FALSE
49F2,60,1.3925540890750168,2180.3870967741937,7.349424820322677e-4,0.012298127431172637,FALSE
50E9,45,1.2144373872328063,15558.58064516129,7.313418984361458e-4,0.006348611240083724,FALSE
45F0,65,1.1947019298455717,38805.70967741936,7.304844584627027e-4,0.02774486183081067,FALSE
39F7,101,1.287377986161358,34737.903225806454,6.797426191244539e-4,0.021093043609936628,FALSE
41F0,67,1.3870192977883595,3412.7419354838707,6.193737870823009e-4,0.011192190678697048,FALSE
46E9,67,1.378618112097714,10942.483870967742,5.579761891734717e-4,0.006893940123468338,FALSE
46F0,69,1.3532862200924918,19514.161290322583,5.476555980576263e-4,0.007145057176265699,FALSE
38F3,72,1.3787866984275226,9374.967741935483,5.330802421614771e-4,0.007440395274542909,FALSE
32F2,64,1.2157179124963522,27952.129032258064,4.884337671598092e-4,0.012741792954820667,FALSE
38E9,61,1.3100970431674255,27225.258064516132,4.205284752439613e-4,0.012050765261253546,FALSE
36F2,76,1.3408601453017746,19729.354838709674,3.757915566109765e-4,0.007221838366841331,FALSE
51F2,53,1.261880555042282,9382.741935483871,3.4040556251080536e-4,0.007437233145571728,FALSE
44F5,66,1.2356199762533895,19268.709677419356,3.131458282824029e-4,0.007061694092094244,FALSE
41F5,66,1.2258065189468652,28195.161290322583,2.970847024012353e-4,0.012981626547416853,FALSE
44F4,65,1.27550886390889,6970,2.9622701163918786e-4,0.008634881806512689,FALSE
38F1,69,1.3363868525373754,18963.967741935485,2.813809589733053e-4,0.006964443440831599,FALSE
50F3,54,1.3622667684756717,5532.1612903225805,2.34319519076299e-4,0.009554960314852503,FALSE
35F4,87,1.2942765677096615,28272.774193548386,2.321133934591912e-4,0.01305914550871056,FALSE
38F7,111,1.3191889725312302,22089.258064516132,2.274148216639545e-4,0.008290354612743307,FALSE
39F1,77,1.3235050847485061,20967.41935483871,2.2516694818925775e-4,0.007730641391827232,FALSE
