"stat_rec","lon","lat","bearing_resid","n_local_pairs_resid","bearing_blup","n_local_pairs_blup","bearing_depth_cross","bearing_depth","pct_sounding","tid_flag_lt50","tid_flag_lt25"
"44F5",5.49999999990013,57.7500000002499,45,99,45,99,267.020106997506,357.020106997506,100,FALSE,FALSE
"45E6",-3.50000000009987,58.25000000015,0,73,0,73,16.2810415027687,106.281041502769,96.8462549277267,FALSE,FALSE
"45E7",-2.50000000029974,58.25000000015,45,85,45,85,23.6780085382007,113.678008538201,100,FALSE,FALSE
"45E8",-1.50000000004991,58.25000000015,45,94,45,94,188.47071295849,278.47071295849,99.6770833333333,FALSE,FALSE
"45E9",-0.499999999800082,58.25000000015,45,100,45,100,337.170311998713,67.1703119987131,99.8020833333333,FALSE,FALSE
"45F0",0.500000000000057,58.25000000015,45,106,0,106,318.748486157755,48.7484861577551,97.34375,FALSE,FALSE
"45F1",1.4999999998002,58.25000000015,90,111,90,111,57.6475431912494,147.647543191249,88.7395833333333,FALSE,FALSE
"45F2",2.50000000004999,58.25000000015,90,114,45,114,0,90,81.4340277777778,FALSE,FALSE
"45F3",3.50000000029982,58.25000000015,0,113,0,113,32.5775220293349,122.577522029335,94.09375,FALSE,FALSE
"45F4",4.50000000009999,58.25000000015,45,104,45,104,65.5336273645174,155.533627364517,100,FALSE,FALSE
"46E6",-3.50000000009987,58.75000000005,90,71,90,71,320.306064422877,50.3060644228771,97.7021696252466,FALSE,FALSE
"46E7",-2.50000000029974,58.75000000005,45,81,45,81,72.1893079165513,162.189307916551,96.6374215337176,FALSE,FALSE
"46E8",-1.50000000004991,58.75000000005,45,87,45,87,72.1893079165513,162.189307916551,99.9409722222222,FALSE,FALSE
"46E9",-0.499999999800082,58.75000000005,45,92,0,92,61.1562322003132,151.156232200313,99.9826388888889,FALSE,FALSE
"46F0",0.500000000000057,58.75000000005,0,97,0,97,5.29266537976881,95.2926653797688,98.8055555555556,FALSE,FALSE
"46F1",1.4999999998002,58.75000000005,90,102,0,102,232.365988428226,322.365988428226,89.8194444444444,FALSE,FALSE
"46F2",2.50000000004999,58.75000000005,0,104,0,104,57.2775732783886,147.277573278389,93.1493055555556,FALSE,FALSE
"46F3",3.50000000029982,58.75000000005,0,103,0,103,2.47541849255295,92.475418492553,99.8125,FALSE,FALSE
"47E6",-3.50000000009987,59.2499999999501,0,68,0,68,11.1253210934652,101.125321093465,99.0271772699197,FALSE,FALSE
"47E7",-2.50000000029974,59.2499999999501,0,74,0,74,339.019688949897,69.019688949897,92.970698834655,FALSE,FALSE
"47E8",-1.50000000004991,59.2499999999501,0,79,0,79,180,270,99.9583333333333,FALSE,FALSE
"47E9",-0.499999999800082,59.2499999999501,45,84,0,84,314.360205972918,44.3602059729183,99.9236111111111,FALSE,FALSE
"47F0",0.500000000000057,59.2499999999501,45,88,0,88,314.360205972918,44.3602059729183,96.0694444444444,FALSE,FALSE
"47F1",1.4999999998002,59.2499999999501,0,92,0,92,248.636298038191,338.636298038191,94.6840277777778,FALSE,FALSE
"47F2",2.50000000004999,59.2499999999501,0,93,0,93,36.145090720918,126.145090720918,95.1666666666667,FALSE,FALSE
"47F3",3.50000000029982,59.2499999999501,45,91,45,91,11.1253210934652,101.125321093465,99.9861111111111,FALSE,FALSE
"48E7",-2.50000000029974,59.7499999998502,90,68,45,68,123.491506255843,213.491506255843,99.8993055555556,FALSE,FALSE
"48E8",-1.50000000004991,59.7499999998502,0,72,0,72,130.388532353193,220.388532353193,98.9091297992942,FALSE,FALSE
"48E9",-0.499999999800082,59.7499999998502,45,76,45,76,90,180,99.8159722222222,FALSE,FALSE
"48F0",0.500000000000057,59.7499999998502,45,79,45,79,341.435409477357,71.4354094773569,93.5104166666667,FALSE,FALSE
"48F1",1.4999999998002,59.7499999998502,45,81,0,81,9.53243747720671,99.5324374772067,91.4965277777778,FALSE,FALSE
"48F2",2.50000000004999,59.7499999998502,90,82,0,82,303.491506255843,33.4915062558429,98.9027777777778,FALSE,FALSE
"48F3",3.50000000029982,59.7499999998502,45,80,45,80,31.6215938181175,121.621593818118,100,FALSE,FALSE
"49E8",-1.50000000004991,60.2499999997502,0,64,0,64,170.45927801371,260.45927801371,97.6125068677888,FALSE,FALSE
"49E9",-0.499999999800082,60.2499999997502,0,67,0,67,287.225441637933,17.2254416379325,97.9000244183207,FALSE,FALSE
"49F0",0.500000000000057,60.2499999997502,45,70,45,70,259.618284536656,349.618284536656,93.5590277777778,FALSE,FALSE
"49F1",1.4999999998002,60.2499999997502,45,71,45,71,243.26047044089,333.26047044089,96.7534722222222,FALSE,FALSE
"49F2",2.50000000004999,60.2499999997502,90,71,135,71,189.392001363077,279.392001363077,99.1111111111111,FALSE,FALSE
"49F3",3.50000000029982,60.2499999997502,90,68,90,68,61.2062122856225,151.206212285623,100,FALSE,FALSE
"50E8",-1.50000000004991,60.7499999996503,45,58,45,58,81.379703381392,171.379703381392,99.1499862901014,FALSE,FALSE
"50E9",-0.499999999800082,60.7499999996503,0,61,0,61,331.667862494698,61.6678624946981,98.7895066043637,FALSE,FALSE
"50F0",0.500000000000057,60.7499999996503,90,63,90,63,0,90,98.6631944444444,FALSE,FALSE
"50F1",1.4999999998002,60.7499999996503,90,64,45,64,247.739978793154,337.739978793154,97.9930555555556,FALSE,FALSE
"50F2",2.50000000004999,60.7499999996503,135,62,135,62,166.270967124565,256.270967124565,99.9166666666667,FALSE,FALSE
"50F3",3.50000000029982,60.7499999996503,135,58,135,58,135.659429540826,225.659429540826,99.96875,FALSE,FALSE
"51E8",-1.50000000004991,61.2500000000001,0,53,45,53,140.015219169153,230.015219169153,94.2916666666667,FALSE,FALSE
"51E9",-0.499999999800082,61.2500000000001,0,55,0,55,77.6555852042515,167.655585204251,99.7604166666667,FALSE,FALSE
"51F0",0.500000000000057,61.2500000000001,0,56,0,56,180,270,99.5138888888889,FALSE,FALSE
"51F1",1.4999999998002,61.2500000000001,135,55,135,55,180,270,99.1180555555556,FALSE,FALSE
"51F2",2.50000000004999,61.2500000000001,135,53,135,53,35.3759342289512,125.375934228951,98.3472222222222,FALSE,FALSE
